Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
0,000000;0,147413;0,147413;;0,147337;7,6E-05;-0,147261
0,147413;0,147489;0,000076;;-1,756240;1,756316;3,512556
0,147489;1,903805;1,756316;;1,591746;0,16457;-1,427176
1,903805;2,068375;0,164570;;-5,026905;5,191475;10,218380
2,068375;7,259850;5,191475;;5,048547;0,142928;-4,905619
7,259850;7,402778;0,142928;;-3,009952;3,15288;6,162832
7,402778;10,555658;3,152880;;2,996508;0,156372;-2,840136
10,555658;10,712030;0,156372;;-2,399605;2,555977;4,955582
10,712030;13,268007;2,555977;;2,438729;0,117248;-2,321481
13,268007;13,385255;0,117248;;-2,219231;2,336479;4,555710
13,385255;15,721734;2,336479;;2,231598;0,104881;-2,126717
15,721734;15,826615;0,104881;;-1,649154;1,754035;3,403189
15,826615;17,580650;1,754035;;1,406233;0,347802;-1,058431
17,580650;17,928452;0,347802;;-3,010122;3,357924;6,368046
17,928452;21,286376;3,357924;;3,357855;6,9E-05;-3,357786
21,286376;21,286445;0,000069;;-0,038969;0,039038;0,078007
21,286445;21,325483;0,039038;;0,038971;6,7E-05;-0,038904
21,325483;21,325550;0,000067;;-0,140203;0,14027;0,280473
21,325550;21,465820;0,140270;;0,140213;5,7E-05;-0,140156
21,465820;21,465877;0,000057;;-0,000182;0,000239;0,000421
21,465877;21,466116;0,000239;;-0,044098;0,044337;0,088435
21,466116;21,510453;0,044337;;0,044274;6,3E-05;-0,044211
21,510453;21,510516;0,000063;;-0,269137;0,2692;0,538337
21,510516;21,779716;0,269200;;0,262203;0,006997;-0,255206
21,779716;21,786713;0,006997;;-0,137871;0,144868;0,282739
21,786713;21,931581;0,144868;;-5,822498;5,967366;11,789864
21,931581;27,898947;5,967366;;5,745054;0,222312;-5,522742
27,898947;28,121259;0,222312;;-1,545894;1,768206;3,314100
28,121259;29,889465;1,768206;;1,768144;6,2E-05;-1,768082
29,889465;29,889527;0,000062;;-0,000093;0,000155;0,000248
29,889527;29,889682;0,000155;;-0,145447;0,145602;0,291049
29,889682;30,035284;0,145602;;0,145517;8,5E-05;-0,145432
30,035284;30,035369;0,000085;;-0,971312;0,971397;1,942709
30,035369;31,006766;0,971397;;0,971326;7,1E-05;-0,971255
31,006766;31,006837;0,000071;;-0,010390;0,010461;0,020851
31,006837;31,017298;0,010461;;0,010397;6,4E-05;-0,010333
31,017298;31,017362;0,000064;;-0,142537;0,142601;0,285138
31,017362;31,159963;0,142601;;0,142526;7,5E-05;-0,142451
31,159963;31,160038;0,000075;;-0,000275;0,00035;0,000625
31,160038;31,160388;0,000350;;-0,332532;0,332882;0,665414
31,160388;31,493270;0,332882;;-15,244710;15,577592;30,822302
31,493270;47,070862;15,577592;;15,439744;0,137848;-15,301896
47,070862;47,208710;0,137848;;-7,050909;7,188757;14,239666
47,208710;54,397467;7,188757;;7,188416;0,000341;-7,188075
54,397467;54,397808;0,000341;;-0,016993;0,017334;0,034327
54,397808;54,415142;0,017334;;0,017262;7,2E-05;-0,017190
54,415142;54,415214;0,000072;;-0,000027;9,9E-05;0,000126
54,415214;54,415313;0,000099;;0,000071;2,8E-05;-0,000043
54,415313;54,415341;0,000028;;-0,125412;0,12544;0,250852
54,415341;54,540781;0,125440;;-1,047283;1,172723;2,220006
54,540781;55,713504;1,172723;;1,054614;0,118109;-0,936505
55,713504;55,831613;0,118109;;-0,886525;1,004634;1,891159
55,831613;56,836247;1,004634;;1,004196;0,000438;-1,003758
56,836247;56,836685;0,000438;;0,000337;0,000101;-0,000236
56,836685;56,836786;0,000101;;-0,000044;0,000145;0,000189
56,836786;56,836931;0,000145;;-0,157318;0,157463;0,314781
56,836931;56,994394;0,157463;;0,157393;7E-05;-0,157323
56,994394;56,994464;0,000070;;-0,028568;0,028638;0,057206
56,994464;57,023102;0,028638;;0,028547;9,1E-05;-0,028456
57,023102;57,023193;0,000091;;-0,010828;0,010919;0,021747
57,023193;57,034112;0,010919;;0,008930;0,001989;-0,006941
57,034112;57,036101;0,001989;;0,001937;5,2E-05;-0,001885
57,036101;57,036153;0,000052;;-0,125203;0,125255;0,250458
57,036153;57,161408;0,125255;;0,105188;0,020067;-0,085121
57,161408;57,181475;0,020067;;0,019984;8,3E-05;-0,019901
57,181475;57,181558;0,000083;;-0,143592;0,143675;0,287267
57,181558;57,325233;0,143675;;-0,924486;1,068161;1,992647
57,325233;58,393394;1,068161;;0,934170;0,133991;-0,800179
58,393394;58,527385;0,133991;;-1,391002;1,524993;2,915995
58,527385;60,052378;1,524993;;1,404482;0,120511;-1,283971
60,052378;60,172889;0,120511;;0,120473;3,8E-05;-0,120435
60,172889;60,172927;0,000038;;-12,957135;12,957173;25,914308
